"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"ROCK","Gibraltar Industries, Inc.","16.15","$499.11M","1993","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/rock",
"GIGM","GigaMedia Limited","0.8199","$41.69M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/gigm",
"GIGA","Giga-tronics Incorporated","1.79","$9.75M","1983","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/giga",
"GIII","G-III Apparel Group, LTD.","97.65","$2.19B","1989","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/giii",
"GILT","Gilat Satellite Networks Ltd.","4.87","$207.55M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/gilt",
"GILD","Gilead Sciences, Inc.","96.9","$146.19B","1992","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gild",
"GBCI","Glacier Bancorp, Inc.","24.15","$1.81B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gbci",
"GLAD","Gladstone Capital Corporation","8.22","$172.62M","2001","n/a","n/a","http://www.nasdaq.com/symbol/glad",
"GLADO","Gladstone Capital Corporation","25.45","$55.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glado",
"GOOD","Gladstone Commercial Corporation","17.39","$329.17M","2003","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/good",
"GOODN","Gladstone Commercial Corporation","25.7","n/a","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodn",
"GOODO","Gladstone Commercial Corporation","25.7","$29.56M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodo",
"GOODP","Gladstone Commercial Corporation","25.65","$25.65M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodp",
"GAIN","Gladstone Investment Corporation","7.77","$205.72M","2005","n/a","n/a","http://www.nasdaq.com/symbol/gain",
"GAINO","Gladstone Investment Corporation","25.38","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gaino",
"GAINP","Gladstone Investment Corporation","26.0499","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainp",
"LAND","Gladstone Land Corporation","10.6","$82.19M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/land",
"GLBZ","Glen Burnie Bancorp","12.61","$34.82M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/glbz",
"GDEF","Global Defense & National Security Systems, Inc.","10.2","$98.17M","2013","Finance","Business Services","http://www.nasdaq.com/symbol/gdef",
